,count,hate_speech,offensive_language,neither,class,tweet
2681,3,0,3,0,1,"@Black_Angelo25 chill cuz you'll regret it bro, your hitting that hoe rn why quit?"
2683,3,0,3,0,1,"@BlackberryTroll Blah. If people are determined to think of you as a condescending bitch, it's their loss."
2685,3,0,3,0,1,"@Blackman38Tide Ha bitch, I'm pickin' up beach babes left n right on the West Coast http://t.co/lDXNpohLyD"
2686,3,0,1,2,2,@Blackman38Tide bandana Orian. They called me trailer trash for wearing my lil country getup &#128545;
2687,3,2,1,0,0,@Blackman38Tide lmfao go to bed whitey &#128129;
2688,3,0,0,3,2,@BlakeAnderson21 @jo_clark6 chicken fried steak it is boys mash potatoes gravy green beans corn an ice cream an brownies for after
2689,3,0,3,0,1,@BlakeAnderson21 Rollin coal bitches ready to blow ready set GO!
2690,3,0,0,3,2,@BlakeAnderson21 thanks Hun! Haha
2691,3,0,2,1,1,@BlakeAnderson21@dalton_ryann @justinmiculka01 bitch got the crew hype an still got her ass beat tonight should have brought him to us
2692,6,1,5,0,1,"@BlakkHoodie_562 always eatin good wit my niggah, and good lookin on the cd my boy got some heat now i can bump some bangers"
2693,3,1,2,0,1,@BlakkHoodie_562 fosho my niggah il be over there just been real busy lately
2694,3,0,3,0,1,"@BlakkHoodie_562 yeah that niggah played good, lowkey i wanted brazil to win"
2695,3,0,3,0,1,@BlizzyLC now that ur tour over come kick it with ya nig in the MIA....
2696,3,0,3,0,1,@BloggerBoxing @Studhardt22 the Jacob and Joshua picks have been very similar. As the love for faggot Ruslan as well #2accountsGate
2697,3,2,1,0,0,@BloggerBoxing @rianscalia pass the Fosters faggot
2698,3,2,1,0,0,@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...
2700,3,1,2,0,1,@Blue_DreamMN @ExpectoMichaela seriously.. After that first conversation on your status he fb messaged me calling me a fag lololol
2701,3,1,0,2,2,"@Boazziz He promised to stand with the muzzies, so..."
2702,3,0,3,0,1,@BobbyBotsods @FuckTheMallcops @UncleUnco @MrMooncricket fuck off bitch.
2703,3,1,2,0,1,"@BobbyBotsods @FuckTheMallcops @UncleUnco @MrMooncricket ur weird, racist bitch."
2704,3,1,2,0,1,@BobbyBotsods @MrMooncricket @FuckTheMallcops @UncleUnco no u eat it inbred trailer trash.
2705,3,0,3,0,1,@BobbyRosee Let the hoes tell it man..
2707,3,0,3,0,1,@BodyByMalone Lesson 12 don't pass out at before 12 like a lil bitch
2708,3,0,3,0,1,@Bojieasx slap a taco in thT hoe face &#128514;&#128514;&#128514;&#9996;&#65039;&#128080;&#128074;&#128175;&#128536;&#128584;&#128129;
2709,3,0,0,3,2,@BolandDrummer I have never once in my life been to a 'coffee shop' like Starbucks. I am a hick though.
2710,3,0,3,0,1,"@Bombfantasyyy @Angela_Mastr lmao angela you look like a damn potato bitch, keep talkin"
2711,3,0,0,3,2,@Bombfantasyyy pearl jam: yellow Ledbetter&gt;
2712,3,0,0,3,2,@BoneSaw00 There's a reason why the Yankees don't want Anderson any longer.
2713,3,0,0,3,2,@Boner4Tuna @TCC_Grouchy @Mrs__Met @Vortmax29 @LLMajer @dmb1031 @APLMom @Frogtox @KishkaAndPipiks I've had shots go off where yellow smoke
2714,3,0,3,0,1,@Boobah_ awnser the phone pussy
2716,3,0,1,2,2,@BookoutBj That's ghetto for super duper! It's the current generations best complement.
2717,3,0,3,0,1,@Borgore pull my panties down with ur teeth and write the alphabet w ur tongue on my throbbing pussy
2718,3,0,3,0,1,@BosleyXavier I trip on acid not bitches.
2719,3,2,1,0,0,@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?
2720,3,2,0,1,0,@BossMelle never followed him ignorant monkey
2721,3,1,2,0,1,@Bossman_Carl lmaooo naw nigga imma stay right in your mentions hoe
2722,3,0,3,0,1,@Bossman_Carl nigga I didn't have no change.yall some hoes for Tryna shoot know y'all can't shoot
2723,3,0,3,0,1,@Bossman_Carl wake your ass up hoe
2724,3,1,2,0,1,@BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them
2725,3,0,2,1,1,@BradMich4Real thats shit gon be the death of these hoes...ion like it...
2726,3,0,2,1,1,@BrandNewAndrew lmaooo roosters is hot trash bro u know it
2727,3,0,3,0,1,@Brandi_Nicolee get that degree first bitch
2728,3,0,3,0,1,@BranninWGL I'll say it for you.. Do ya woman want you on the couch in plain sight or outchea with these bitches? Simple.
2729,3,0,3,0,1,@BranninWGL describing New Pussy like a Baltimore Love Thing out this bitch.
2730,3,0,3,0,1,@BraveConWarrior She is a bitch ! This mess is all BO's fault! ALL OF IT!
2731,3,3,0,0,0,@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic
2732,3,0,3,0,1,@BreadTruckkBri I know I was playing that hoe start on the 20 tho
2733,3,2,1,0,0,@BreeOlson @Gingerbeard66 your a nasty nigger whore
2734,3,1,2,0,1,@BreesInDaCut you got some hoes here yet?
2735,3,0,3,0,1,@BreezyPetey at least he went up and wasn't a bitch
2736,3,0,0,3,2,"@Brelston I realized it's the one on Link's Awakening too, so you killed two birds with one stone. Unless you're getting the Wind Fish too."
2737,3,0,1,2,2,@BrenJJGMom @hweldon Well...how about those Yankees this year? What a run. #wtfiswrongwithnebraska
2738,3,0,3,0,1,@BrendaGisselCA I'm not Mexican enough for the real beaners yet too Mexican for the Americanized beaners :(
2739,3,0,3,0,1,@BrendaGisselCA that you got hoes damn
2740,3,0,3,0,1,@BrendaGisselCA then what the hell are the perks of being your hoe? This is some bullshit
2741,3,0,3,0,1,@BrendanSchaub @TimTebow ugh your with Tebow? You're officially a fag now and in followed.
2742,3,3,0,0,0,@Brenddan_ they said some bullshit. Damn niggers
2743,3,2,1,0,0,@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas
2744,3,0,3,0,1,@BretVonDehl @com_lowery Can I beat this bitch up?? Seriously....what a bitch
2745,3,1,2,0,1,"@BretVonDehl Damn you bitch you never answer me anymore... LMAO JK ILY! Anyway glad of your first show, be safe when going to the next one"
2746,3,0,3,0,1,@BretVonDehl YOUNOW is a fucking bitch... Shit load of hate on there when I did my first broadcast
2747,3,2,1,0,0,@Briana_Rashae I'd like to rape the bitch that posted that.
2749,3,0,0,3,2,@BriannaLovesA my trick is I wait for the bird to get close to the pipe and then tap the screen! So you never hit your head.
2750,3,0,0,3,2,"@Briccone79 @pvvrivierenland ja moest van plisie niet meteen wild gaan denken.Juistja,willen wel meer mensen mij vertellen hoe k moet denken"
2751,3,2,1,0,0,"@Brice2254 Fuck you, faggot."
2752,6,0,6,0,1,@Briscoefunnyguy @_KaeeJones I gotta see that hoe in person cause I'm sleeping on that hoe for now
2753,3,0,3,0,1,@Briscoefunnyguy @_KaeeJones da fuck that hoe look sad
2754,3,0,3,0,1,@Briscoefunnyguy lol he still a lil bitch
2755,3,2,1,0,0,@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh
2756,3,0,3,0,1,"@BroadwayMensa hoes not women, like to be the center of attention"
2758,3,1,2,0,1,@BrodyWayneLyles these kids are pussies. We got a white trash kid &amp; a ThugNasty wanna be up in here &#128514;
2759,3,0,3,0,1,@BrotherDiabeats take your queer ass dubstep out of here
2760,3,0,2,1,1,"@Brutal_Brandy We had a Pacer in the 70s &amp; I 'member loving when ""Hair of the Dog"" came on the quadraphonic stereo so I could say ""bitch""lol"
2761,3,0,3,0,1,@BryanBalsamo lmao u ain't a savage &#128514;&#128514; these hoes for everybody
2762,3,0,0,3,2,"@BryanStars ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc"
2763,3,0,0,3,2,@Buckm00se @Cuauhtli02 we gunna laff at Chava/Rubio beaner supporters in a min
2764,3,0,3,0,1,@Buckm00se @DaRealAlexInLA I didn't spoil anything &amp; you should have been watched it nigger nig nog
2765,3,1,0,2,2,@Buckm00se @LEXXX_RUGER @ivanrabago_ the kikes want to charge you &#128175; dollaz for the complete version http://t.co/ZJDLwiAjEo
2766,3,3,0,0,0,@Buckm00se @letsargueboxing sand nigger ran over some Kidd
2767,3,3,0,0,0,@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns
2768,3,2,1,0,0,@Buckm00se Joe Cortez is the ultimate faggot that fight proved it
2769,3,0,3,0,1,@Buckm00se all I remember was the fat bitch stealing the KFC bucket &amp; hauling ass
2770,3,2,1,0,0,@Buckm00se all us beaners were pissed like robert when the jew ref stopped it
2771,3,0,3,0,1,@Buckm00se post the bid where you tell that nig to use the jab
2772,3,2,1,0,0,@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh
2773,3,0,3,0,1,"@Buffalodave1 @BretVonDehl @AlexFoxx13 @brandonkilexxx @JCCharles8 @TylerGloyd Wait,wait,wait, The new one or the EP?Son of a bitch Lucky ;)"
2774,3,1,2,0,1,@Bullskickass I've decided that #BullsNation are retarded. #love
2775,3,0,0,3,2,@Buster_ESPN Huh.....last 10 games..Tampa 8-2/Balt 7-3/Yanks 6-4...and they lost their best pitcher. Please explain your logic.
2776,3,0,0,3,2,@Buster_ESPN Sounds like they are holding back info.......Yankee shill
2777,3,0,3,0,1,@Buy_Mortimer @WiigJosh @iowa51005 @TC_live2014 @todd_calfee Hookers are always complimentary-who wants to be with a bitch?
2778,3,0,0,3,2,@Bywatergal @Yankees @EmpireStateBldg That game winning hit in Thursday capped a great career. The guy is a 1st ballot HOF. Or else.
2779,3,0,3,0,1,@C0MMONLY @scorpiogans93 @EcliptiK pussies
2780,3,0,0,3,2,@CAntista @Brelston @hEnereyG Eating a roasted potato and smiling till my cheeks are sore; the crow SFX in this Cape Crisis are super-great
2782,3,0,1,2,2,@CBSThisMorning @NorahODonnell tx trash you know trouble w ACA is in GOP gov states but like @60 @LaraLogan_News you report lies anyway
2783,3,0,0,3,2,@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President
2784,3,0,1,2,2,@CBSThisMorning @charlierose racist @NorahODonnell tx trash enjoy your high along with gop win a substitute for racist @MittRomney loss!
2785,3,2,0,1,0,@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful
2787,3,0,0,3,2,@CCobey @tess_stepakoff there isn't a green one either. There's red and yellow in that pic...
2788,9,2,6,1,1,"@CDNBallJunkie I jus wanna let you know OKC trash, IBAKA ain't shit, y'all ain't goin nowhere without Harden"
2789,9,0,9,0,1,"@CDNBallJunkie Spurs bitch that's the team, you dont want no problems"
2790,3,3,0,0,0,"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!"
2791,3,1,2,0,1,"@CHARLESBARRKLEY you need your ass whipped with a whip Mr house nigger, remember u will always b a nigger to them!"
2792,3,0,3,0,1,@CHILDISHCUDl @CheefPolo bitch mind your business
2793,3,0,3,0,1,@CMBGaming11 @BeechHD oh you mean like how you started to be a cunt to JP about something that has nothing to do with you?
2794,3,0,3,0,1,@CM_UTLR your man looks terrified in that picture. Do you beat him? Or just treat him like a regular bitch?
2797,3,0,3,0,1,"@COK3COKE Now, mfa don't wanna spend a dime wit em. Prolly out here yelling money over bitches."
2798,3,0,3,0,1,@CR4ZYF0RU I just really miss you and I know we can drink it off and talk about all of our problems like basic bitches
2801,3,0,3,0,1,@CSVNDY i wanna be that white nigga chillin in my mini cooper just throwin money at bitches
2803,3,1,2,0,1,@C_janacek07 @Nick_504_ a fucking verse from Don trip bitch stop assuming shit
2804,3,0,3,0,1,@CabHotties who ever said this is so dumb. My moms a cop &amp; ill have her track you down for being a lil bitch. Kay bye(:
2805,3,0,3,0,1,@CaelanG15 that nigga was eating that hoe lol
2806,3,0,3,0,1,@Caliqueeen14 you da realest bitch out here Amber
2810,6,1,5,0,1,@CallMeRenee_ &#128514;&#128514;&#128514;&#128553;&#9996;&#65039; my bad bitch im logged in on everybody shit
2811,3,0,3,0,1,@CallMeRenee_ @lilmenifee__ wussup bitch
2812,3,0,3,0,1,@CallMeRenee_ bitch im too mad im finna throw this bitch outside
2814,3,0,3,0,1,@CallMeRenee_ bitch u bs how fck yah &#9996;&#65039;&#128553;&#128514;&#128514;&#128080;&#128079;&#128526;&#128129;
2817,3,0,3,0,1,"@CallNeeshCakey &#128514; das new bae , my bitch bad or naw lmao"
2818,3,0,3,0,1,@CallNeeshCakey &#128514;&#128514; bitches aint shit
2819,3,0,3,0,1,@CallNeeshCakey I can't bitch
2820,3,0,3,0,1,@CallNeeshCakey bitch I know stfu &#128514;
2821,3,0,0,3,2,"@CallNeeshCakey no , a pop wop &#128514;"
2822,3,0,0,3,2,@CallNeeshCakey pop wop and drop it tho
2823,3,0,3,0,1,@CallNeeshCakey to lay up w my bitch
2824,3,0,3,0,1,@CallNeeshCakey umm bitch hello I was not alive so I clearly DOBT have it
2825,3,0,1,2,2,@CallNeeshCakey we in this bitch finna get crunk eyebrows on double PAPP &#128165;&#128165;
2826,3,1,2,0,1,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"
2827,3,3,0,0,0,@Campos_uli is a fag #hesgay
2828,3,0,3,0,1,@CandiElissa @twitRless_kb @ElissaReillyS @HelenKimFitz76 elissa is such a fake cunt
2829,3,0,0,3,2,@CapitolEVAN That's where I saw the leprechaun. He told me to burn things.
2830,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh all hoes singing it too
2831,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit
2832,6,0,6,0,1,@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted them hoes she was suppose to hold em
2833,6,0,6,0,1,@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning
2834,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you
2835,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh me either but if the bitch like put on that Beyonc&#233; nigga ain't gone hesitate
2836,6,0,6,0,1,@CapoDaAssHole @Alejandro_Bihhh whatever turn them hoes on z-Ro ain't gone get the bitch wet
2837,6,1,5,0,1,@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap
2838,3,0,3,0,1,@CapoDaAssHole lol that hoe for 5yr old
2839,6,0,5,1,1,@CapoDaAssHole naw where can I see that hoe at
2840,3,0,3,0,1,@CapoDaAssHole wiz had a warrant like a bitch
2841,3,0,3,0,1,@CapoDaAssHole yea he coming back him big rod doing something for that hoe
2842,3,0,3,0,1,@CaptElliott NFN you bitch to much.
2843,9,2,7,0,1,"@CarelessOne92 I'm not Hollywood at all my nig, u brought me to twitter n bounced"
2844,3,1,2,0,1,@CarelessOne92 a young nigga turned into Mr. CATCHMEIFYOUCAN....I'm in da field my nig #WEDAOPPS #FUKEMWEBALL
2845,6,1,5,0,1,"@CarelessOne92 he a real nigga tho, that bitch know her place"
2846,3,0,3,0,1,"@CarelessOne92 weeknd dont save hoes b, idunno bout Drake"
2847,6,0,6,0,1,"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout"
2848,3,2,1,0,0,@CarelessOne92 you styl gotta get dem tweets off my nig
2849,3,0,3,0,1,"@CarlaFinch What can I say, Im a stubborn son of a bitch."
2850,3,0,1,2,2,"@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat."
2851,3,1,2,0,1,@Caroline_Poe bitch im 17? And i didnt follow you..? Hahaha
2852,3,0,3,0,1,@Caroline_Poe haha i dont remember following you but ok? Get your pannies out of of bunch cunt
2853,4,0,1,3,2,@Carxlito PS3 and case is still in the trash can. idgaf anymore
2854,3,0,2,1,1,@Cashhaddict Damn i wanted to buy that bitch that shit was tough
2855,3,0,3,0,1,@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe
2856,6,0,6,0,1,@CassiusClay_232 Lebron brought the bitch down to his knees chill
2857,3,0,3,0,1,@CassiusClay_232 who all in that hoe
2858,3,0,0,3,2,@CatholicMomVA @Neal_Dewing that would cripple our military :)
2859,3,1,2,0,1,@CayMarieee bitch
2860,3,0,3,0,1,@CayMarieee bitch I'm not coming no more you said your making plans !
2861,3,0,3,0,1,@CayMarieee bitch I'm talm bout at like 10 &#9995;&#128514;
2862,3,0,3,0,1,@CayMarieee bitch ion got no attitude &#9995;&#128514;&#128557; sorry hoe I'm shaded Rn
2863,3,0,3,0,1,@CayMarieee bitch you NOT either bye &#128514;
2864,3,0,3,0,1,@CayMarieee bitch you still subtweets but not replying though &#128514;&#128557;&#128524;
2865,3,0,3,0,1,@CayMarieee oh bitch but you couldn't answer mine when I needed a paccage delivered to your house ! So Fucc off &#128514;&#128557;
2866,3,0,3,0,1,@CayMarieee omg bitch go to sleep it was JUST a coincidence huh ? &#9995;&#128514;
2867,3,0,0,3,2,@Cay_JEN I didn't think you knew of a bird that couldn't be tamed. #cajuncharm
2868,3,0,3,0,1,"@CdashRay ""she's wearing the same shirt, what a bitch."""
2870,3,1,2,0,1,@CeeNCrumpets self low down black bitch?
2871,3,0,2,1,1,@CeeRoss negro please...I got a job now lmao
2872,4,0,4,0,1,@CeeRoss shoulda told her yeah if I can take you home for pussy lol
2873,3,0,3,0,1,@Cee_Murda94 bitch bye you can't get it
2874,3,0,3,0,1,@Cee_Murda94 bitch is you drunk or nah
2875,3,0,3,0,1,@Cee_Murda94 it's almost ya fucking birthday. So act right niglet
2876,3,0,0,3,2,@Cee_Murda94 no it's yellow fin. It's in edgewater
2877,3,0,0,3,2,@Cee_Murda94 yellow fin
2878,3,0,3,0,1,@Ceelos_ho3 @fvtboy @jaimescudi_ @AngelSoSwavey_ would I be a bitch if I said yea but never told you where I stay at?
2879,3,0,1,2,2,@CellNBuu ewwww her nips are DEF more perfect than that
2880,3,0,3,0,1,@CenaSux43 You/ @TheBrianMo brought it up first with the allusion that she's a hoe. @chelsea_elisa @RobertBarber64
2881,3,0,3,0,1,@Cesar_K_Garcia text me niggah!
2882,3,1,2,0,1,@Ch4BrickTamland @Ch4BrianFantana yes because I too want to be fat and have a fat bitch wife
2884,3,0,1,2,2,@ChaldeanCutie really? @RileyAintShit @KILLSheredon @CHILDISHCUDl are my nudes trash?
2885,3,3,0,0,0,@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy
2886,3,3,0,0,0,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot
2887,3,1,0,2,2,@Chancellor_IV naw Bryan said it was trash hotel so we're staying somewhere else
2888,3,2,1,0,0,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.
2889,3,1,2,0,1,@ChandailBailey way to delete your tweets you stanky bitch
2890,3,0,3,0,1,@Channnteeel pussy
2891,3,2,1,0,0,"@CharleeRedz13 your gay stfu, dumb monkey"
2892,3,0,0,3,2,"@CharlesBWaffle oh i am.. She cool though, might off her a brownie lol"
2893,3,0,3,0,1,@CharlesBWaffle these bitches need guidance.
2894,3,0,0,3,2,@Charlie4927 @StacyDmomof5 @RevkahJC @cantUCIMblonde @Kacado @PattiSM74 Hi Charlie
2895,3,0,0,3,2,"@Charlie4927 Hi Charlie, have a great day"
2897,3,1,2,0,1,@CharlseyKay Homeee fag
2898,3,0,3,0,1,@ChaseBasford @justinbieber I was 200 bitch
2899,3,2,1,0,0,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;
2900,3,1,2,0,1,@ChaseManhatttan you become retarded
2901,3,2,0,1,0,@CheCha__ be gone my nigguh
2902,3,0,0,3,2,@CheckMyLingo_ @Kingpin_Terror ima get this so every time I throw trash away its where it really belongs http://t.co/DRGBekvzun
2903,3,3,0,0,0,"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot"
2904,3,0,2,1,1,@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:
2906,3,1,2,0,1,@CheyenneDoan cause hes a faggot
2907,4,0,4,0,1,"@Chicago_Rose1 Dunleavy, my cracker ass honkie"
2908,3,0,0,3,2,@ChickenColeman if McCoy wasn't trash that's a TD
2909,3,0,3,0,1,@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca
2910,3,0,2,1,1,@Chillindillan71 damn! Thot I blocked ur fuzzy butt. Have now. &#128541; @virleehol @LanceSilver1 @ChristieC733 @WayneBogda @1_conservative9
2911,3,0,1,2,2,@Chink_19 chink thats better then having the rug rats running around yah crib girl enjoy life lol
2912,3,2,1,0,0,@Chink_19 shut up chink.!!!
2913,3,1,2,0,1,@Chokmah_Makob ok! you billy goat hair hillbilly
2914,3,1,2,0,1,@Chokmah_Makob you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood
2915,3,0,3,0,1,@ChrisHeben you motherfuckin' bullshit slingin' son of a whore! you disgraced all vets with ur crap. now go off to pussy land where u belong
2916,3,0,3,0,1,@ChrisMcDowell_ dont be a bitch.
2917,3,1,2,0,1,@ChrisMcDowell_ pussy ass nigga.
2918,3,1,2,0,1,@ChrisPowellswag @_cblaze @Dswizzle3 Dawson and Nicky Hickman delete the fake account and and stop being bitches
2921,6,0,2,4,2,@ChrisTrondsen @IM5band #askim5 would you rather drink squirrel pee or Johnny Depp's wig in Charlie and the Chocolate Factory?
2922,3,2,1,0,0,"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace."
2923,3,3,0,0,0,@Christian_ESEM you don't know what your talking about retarded faggot
2924,3,0,3,0,1,@ChristyMack fugly bitch john will dump ur ratchet ass
2925,3,1,2,0,1,@ChristyMack ugly flat chested prude ass white bitch
2926,3,1,2,0,1,"@Chrisworldpeace So I guess that makes us blacks double niggers, huh?"
2927,6,1,4,1,1,@Chykalet naw u just retarded kinfolk lol
2928,3,0,3,0,1,@CinWicked Did you just call My Sweet Baboo a ho?!?!
2929,6,0,6,0,1,@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh
2930,3,0,3,0,1,"@CiscoAllDay why she a hoe we know about 5 dudes that hit Kim, 5 these hoes out here doing that in a week"
2931,3,1,2,0,1,"@Citygirl_moe - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;"
2932,3,0,0,3,2,"@Claudialena8 she wasn't saying she did, but yes me and Kannon have both been in the ghetto and know what it's like so u look dumb."
2933,3,0,3,0,1,@ClicquotSuave I would dead upper cut that bitch
2934,3,0,3,0,1,@ClicquotSuave maas mermaid and sharkette pussy
2935,3,0,3,0,1,@ClicquotSuave my nigga what her pussy smell like?
2936,3,0,0,3,2,@ClicquotSuave the new nip dropped today rii?
2937,3,0,3,0,1,@ClutchAction c'mon pussy
2938,3,2,0,1,0,"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao"
2939,3,0,0,3,2,@CogitoErgoBibo Penske runs the 22 in NASCAR. It's yellow. There's a sponsor already there. #WouldMakeALottaSense
2940,3,0,0,3,2,"@CokaMoschiach_ his defense is trash, and he's been rocked by Jesus Soto Karass, and Diego Chaves."
2941,3,0,3,0,1,@CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight.
2942,3,1,0,2,2,@ColeMcDowell2 Waco is ghetto hahaha. Wait til we go pick up nat in Austin tomorrow
2943,3,1,2,0,1,@ColeMcDowell2 someone sent this to me months ago bitch
2944,3,0,3,0,1,@Coley_Cee @Campaign_Papi @They_CallMeShay lmaooo coley just whammmmed him add this to it swervee bitch
2945,3,0,3,0,1,@Coley_Cee @_xpriceless_lmaoo bitch dat was a low blow
2946,3,0,3,0,1,@Coley_Cee bitch dats yo sahara desert ass
2947,3,0,3,0,1,@Coley_Cee bitch do I look white to u
2948,3,1,2,0,1,@Coley_Cee bitch kill yo self
2949,3,0,3,0,1,@Coley_Cee bitch stop takin my shit ooo I hate u u dumb bitch
2950,3,0,3,0,1,@Coley_Cee bitch watch tf out u on moose meat now
2951,3,0,3,0,1,@Coley_Cee didn't I just say I thought u told me to delete them so I deleted them bitch
2952,3,1,2,0,1,@Coley_Cee fuck u u dumb ass bitch hoe
2953,3,0,3,0,1,@Coley_Cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang
2954,3,0,3,0,1,@Coley_Cee my bad bitch ayeee http://t.co/GrHTDie9dz
2955,3,0,3,0,1,@Coley_Cee yes bitch I do realize dat
2956,3,0,3,0,1,@CollinBrennan damn son maybe he didn't know it was ya piece.. He was just Tryna get some pussy breh
2957,3,1,2,0,1,@CommonGayTweets nigga byeeeee lmfao I'll be dammed if a fag stole my girl
2958,3,0,0,3,2,@ComplexMag I didn't know #whitetears were blue and yellow! #lessonoftheday
2960,3,0,0,3,2,@ConanOBrien dat is one ugly animal but da monkey is adorable.
2961,3,0,3,0,1,@Conrad_MLG im goin now so be expecting to get slept faggot
2962,6,0,6,0,1,@CoolStoryIsaac hahaha thanks bitch!! &#128514;
2963,6,1,5,0,1,@CoolStoryIsaac thisty hoe
2964,3,0,3,0,1,@Coosie11 bitch my phones gonna die in serious I got hot pockets
2965,3,0,3,0,1,@CoreyRoyalty_ *hoes
2966,3,0,3,0,1,@Corey_D_23 damn bro.. ps4 trash lol
2967,3,1,2,0,1,@CoronaDior just found u and fuck is my cock hard! Love your dripping pussy
2968,3,0,3,0,1,@Cotton_Candy9 god wrote em now think again coon
2969,3,0,3,0,1,@Cotton_Candy9 hell Idk who did but that pussy better be golden
2970,6,0,6,0,1,@Cotton_Candy9 lmaoooo aye people person so you know lil Rico got hoes hahaha
2972,3,0,3,0,1,@CountryRedBelle I thought you'd get the hint that we know you're a fake cunt and delete your fake account.
2973,3,2,1,0,0,@CrackerJhak Because you're a fag
2974,3,0,3,0,1,@Crackerboyy these hoes really out here
2975,3,0,3,0,1,"@CreoleBabyBritt @blurbette @thepbg The same guy who thinks he can slang around ""bitch"" without it being offensive, apparently."
2976,3,0,3,0,1,"@CreoleBabyBritt Don't make me draw you like one of my Franch bitches, heffa."
2977,3,0,1,2,2,@Crewz76 I miss Tupac rap offs hillbilly
2978,3,0,3,0,1,@Crowe_FaShow cause of the loads of pussy you get right
2979,3,1,0,2,2,@CruzanChoklate look at you with yellow fever.
2980,3,1,2,0,1,@Cryystalina cuz people at work are bitches they shit talkers and yeah dude I need a girls night out -___-
2981,3,1,2,0,1,@Cryystalina haha yes niggah but yesterday night Idk man it hit me at night like around 2 in the morning didn't go to sleep till like 4..
2982,3,0,3,0,1,@CsSalazar15 see bro pussy changes you &#128514;&#128514;&#128557;&#128527;&#128527;
2983,3,2,1,0,0,@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;
2984,3,0,3,0,1,@CsSalazar15 yeah bitch hit me up when you get friend zoned Brody &#128076;&#128175;&#128175;
2985,3,0,3,0,1,@CsSalazar15 yeah right pussy !
2986,3,1,2,0,1,@Cuauhtli02 @elchavaloko @cafebabybull he's a cheating wetback
2987,3,0,3,0,1,@Cuauhtli02 @saucygyro @CoffeeManElliot he called the Kidd a pussy or something
2988,3,1,2,0,1,@Cuauhtli02 I couldn't find the regular one faggot
2990,3,0,3,0,1,@Cuff_no_Slut cdfu bitch you fried
